n;rounds;depth;time
100;25;23;0.000019516
100;32;30;0.000020078
100;30;28;0.000019697
100;27;25;0.000019737
100;21;19;0.000019677
100;24;22;0.000019867
100;32;30;0.000019968
100;22;20;0.000019737
100;29;27;0.000019817
100;28;26;0.000019927
100;22;20;0.000019848
100;16;14;0.00002119
100;17;15;0.000019767
100;18;16;0.000019907
100;16;14;0.000019176
100;17;15;0.000018846
100;19;17;0.000019356
100;19;17;0.000030938
100;20;18;0.00002135
100;17;15;0.000019246
100;20;18;0.000019577
100;15;13;0.000018996
100;22;20;0.000019436
100;19;17;0.000019176
100;16;14;0.000018896
100;17;15;0.000019106
100;16;14;0.000018254
100;17;15;0.000018765
100;14;12;0.000019547
100;17;15;0.000022322
100;18;16;0.000020829
100;20;18;0.000019667
100;19;17;0.000019306
100;16;14;0.000018364
100;18;16;0.000019125
100;17;15;0.000019327
100;17;15;0.000018454
100;19;17;0.000018345
100;19;17;0.000018735
100;17;15;0.000018625
100;19;17;0.000018535
100;22;20;0.00002124
100;20;18;0.000020579
100;22;20;0.000020869
100;16;14;0.000019727
100;20;18;0.000020138
100;17;15;0.000019537
100;19;17;0.000019216
100;21;19;0.000019236
100;22;20;0.000019156
100;18;16;0.000019126
100;19;17;0.000018965
100;16;14;0.000032231
100;22;20;0.000020558
100;17;15;0.000019657
100;15;12;0.000018876
100;23;21;0.000019276
100;20;18;0.000019236
100;19;17;0.000019296
100;18;16;0.000019306
100;19;17;0.000019626
100;23;21;0.000019507
100;17;15;0.000051456
100;15;12;0.000020678
100;22;20;0.000019978
100;19;17;0.000019717
100;16;13;0.000019496
100;24;22;0.000019237
100;18;16;0.000019065
100;18;16;0.000019156
100;15;13;0.000018675
100;21;19;0.000020969
100;14;13;0.000020708
100;22;21;0.000020038
100;22;20;0.000020118
100;19;17;0.000020087
100;21;20;0.000019837
100;17;15;0.000019396
100;19;17;0.000018986
100;19;18;0.000019927
100;18;17;0.000019407
100;18;16;0.000019005
100;16;14;0.000019166
100;23;22;0.000019607
100;19;17;0.000018936
100;20;18;0.000032591
100;16;15;0.000019997
100;14;12;0.000018876
100;18;16;0.000019246
100;19;17;0.000023394
100;19;18;0.000024806
100;16;15;0.000024606
100;21;19;0.000023223
100;17;16;0.000018986
100;23;21;0.000022953
100;17;16;0.000022803
100;18;17;0.000019607
100;19;17;0.000022973
100;22;21;0.000023003
100;17;15;0.000022452
100;15;13;0.000024115
100;13;11;0.000022021
100;18;17;0.000020368
100;18;17;0.000020087
100;12;11;0.000019968
100;17;16;0.000019897
100;17;16;0.000019627
100;16;14;0.000019867
100;19;18;0.000019697
100;15;13;0.000019928
100;15;13;0.000019656
100;18;16;0.000019576
100;17;15;0.000019377
100;17;15;0.000019396
100;19;17;0.000019477
100;20;18;0.000031769
100;15;13;0.000020699
100;17;15;0.000019747
100;17;15;0.000019356
100;15;14;0.000019646
100;13;11;0.000019717
100;14;13;0.000019226
100;16;14;0.000018765
100;15;14;0.000018955
100;14;13;0.000018976
100;16;15;0.000018855
100;16;15;0.000019066
100;16;14;0.000019417
100;18;16;0.000019606
100;15;13;0.000019487
100;19;18;0.000019687
100;23;22;0.00002117
100;24;23;0.000020839
100;22;20;0.000020929
100;18;16;0.000019587
100;19;17;0.000019617
100;26;25;0.000020578
100;20;18;0.000020288
100;19;17;0.000019777
100;18;16;0.000019758
100;25;23;0.000019797
100;15;13;0.000019546
100;21;20;0.000019758
100;17;15;0.000019386
100;20;18;0.000019847
100;17;16;0.000019677
100;25;23;0.000020068
100;19;17;0.000019707
100;17;15;0.000019697
100;18;16;0.000032892
100;19;17;0.000020859
100;22;21;0.000020508
100;16;15;0.000019467
100;23;21;0.000019556
100;15;14;0.000019306
100;22;20;0.000019967
100;20;18;0.000019747
100;21;19;0.000019567
100;23;21;0.000019416
