n;rounds;depth;time
600;44;42;0.000127889
600;33;31;0.000154169
600;48;46;0.000208641
600;45;43;0.000128922
600;52;50;0.000148569
600;42;40;0.000128671
600;47;45;0.000127178
600;49;47;0.000126688
600;55;53;0.00012797
600;49;47;0.000127178
600;51;49;0.00012803
600;39;37;0.000127679
600;39;37;0.000140103
600;37;35;0.000139461
600;39;37;0.000129893
600;46;44;0.000200365
600;44;42;0.000131446
600;45;43;0.0001282
600;54;52;0.000129643
600;52;50;0.000127779
600;42;40;0.000123181
600;55;53;0.00012836
600;45;43;0.00012764
600;57;55;0.000146775
600;42;40;0.000127168
600;47;45;0.000127379
600;34;32;0.000127158
600;45;43;0.000148208
600;50;48;0.000128611
600;39;37;0.000126958
600;42;40;0.000147607
600;41;39;0.000147286
600;35;33;0.000128571
600;53;51;0.000141015
600;46;44;0.00012801
600;40;38;0.000126918
600;56;54;0.000127859
600;52;50;0.000127599
600;41;39;0.000148749
600;36;34;0.000128111
600;40;38;0.000127308
600;50;48;0.000127599
600;50;48;0.000126437
600;49;47;0.000127289
600;42;40;0.00012779
600;36;33;0.00018708
600;31;28;0.000128901
600;42;39;0.00012794
600;42;38;0.000141936
600;41;38;0.000128501
600;41;38;0.0001282
600;48;45;0.000126287
600;40;37;0.000152105
600;49;45;0.000128371
600;43;40;0.000126868
600;47;43;0.000141705
600;48;45;0.000128161
600;38;34;0.000126266
600;32;28;0.000125696
600;46;43;0.000126307
600;31;27;0.000127449
600;53;50;0.000126817
600;45;41;0.00012775
600;44;40;0.000148999
600;33;29;0.00013325
600;45;41;0.00013342
600;41;38;0.000133049
600;32;29;0.000132418
600;41;38;0.000133079
600;50;46;0.000133931
600;46;42;0.00014917
600;33;30;0.000127429
600;41;37;0.000126116
600;43;39;0.000126217
600;36;33;0.000126046
600;33;31;0.000187562
600;35;33;0.000130495
600;27;24;0.00012837
600;37;33;0.000144281
600;29;26;0.000130565
600;36;32;0.000127819
600;35;31;0.000126858
600;40;37;0.000127729
600;41;37;0.00012757
600;33;29;0.000124123
600;33;31;0.000129122
600;39;37;0.000146695
600;27;24;0.0001281
600;31;27;0.000137297
600;32;28;0.000127719
600;32;30;0.00012791
600;44;40;0.000142968
600;37;35;0.000133239
600;39;35;0.000140112
600;35;31;0.000135955
600;35;33;0.000127429
600;35;32;0.000127379
600;32;30;0.000127749
600;29;27;0.00012785
600;41;37;0.000127579
600;34;30;0.000126998
600;31;29;0.000143529
600;30;27;0.000129273
600;35;33;0.000126907
600;35;33;0.000126678
600;28;27;0.000210916
600;35;32;0.000193382
600;33;32;0.000173835
600;28;25;0.000174777
600;33;30;0.000171461
600;39;36;0.000173875
600;39;38;0.000175879
600;29;26;0.000187512
600;38;35;0.000171511
600;33;32;0.000173295
600;34;33;0.000168867
