n;rounds;time
100;20;0.00002139
100;19;0.00002109
100;17;0.000020648
100;23;0.000020859
100;19;0.000019707
100;16;0.000020118
100;18;0.000019757
100;19;0.000020138
100;20;0.000020047
100;21;0.000019748
100;17;0.000019636
100;16;0.000019246
100;19;0.000019436
100;22;0.000019547
100;21;0.000019366
100;22;0.000022613
100;19;0.000021981
100;22;0.000019437
100;22;0.000019466
100;19;0.000019636
100;20;0.000019727
100;17;0.000019366
100;20;0.000019527
100;16;0.000019406
100;20;0.000019286
100;18;0.000019075
100;17;0.000018966
100;20;0.000019427
100;23;0.000023203
100;25;0.000021731
100;25;0.00002114
100;30;0.00002123
100;24;0.000020789
100;29;0.000020048
100;20;0.000020308
100;27;0.000020919
100;21;0.000019988
100;20;0.000019697
100;26;0.000020138
100;22;0.000019537
100;26;0.000020548
100;20;0.000019998
100;22;0.000019486
100;21;0.000019297
100;24;0.000019917
100;22;0.000019216
100;20;0.000019467
100;24;0.000019757
100;21;0.000019918
100;21;0.000018975
100;25;0.000022783
100;25;0.000022012
100;27;0.000020198
100;21;0.000019586
100;27;0.000019898
100;27;0.000020218
100;21;0.000019496
100;20;0.000019777
100;27;0.000023444
100;25;0.000023183
100;22;0.00002119
100;28;0.000020759
100;28;0.00002118
100;27;0.000020749
100;31;0.000019938
100;26;0.000020688
100;24;0.000019978
100;28;0.000019948
100;25;0.000019807
100;30;0.000032962
100;27;0.00002128
100;26;0.000019496
100;26;0.000020568
100;31;0.000020839
100;29;0.000019848
100;26;0.000020268
100;25;0.000019436
100;34;0.000019427
100;26;0.000020278
100;31;0.000020188
100;26;0.000020378
100;33;0.000019507
100;25;0.000019086
100;25;0.000020028
100;35;0.000020418
100;28;0.000019577
100;29;0.000020068
100;29;0.000019867
100;19;0.00002132
100;20;0.000035016
100;24;0.000022062
100;24;0.000020799
100;26;0.000020188
100;25;0.000020408
100;23;0.000020549
100;20;0.000020078
100;22;0.000019316
100;24;0.000019927
100;21;0.000019647
100;21;0.000020258
100;23;0.000020188
100;23;0.000019437
100;19;0.000020288
100;18;0.000019948
100;22;0.000019787
100;28;0.000019797
100;19;0.000019697
100;21;0.000019567
100;20;0.000019787
100;18;0.000019296
100;23;0.000019717
100;18;0.000019486
100;20;0.000019847
100;21;0.000019737
100;22;0.000019266
100;22;0.000019086
100;23;0.000019837
100;24;0.000019387
100;26;0.000021631
100;32;0.000021871
100;28;0.000021701
100;29;0.000020769
100;27;0.000034224
100;25;0.000021501
100;25;0.000020388
100;21;0.000020088
100;23;0.000020088
100;26;0.000019917
100;24;0.000019787
100;27;0.000019838
100;28;0.000020398
100;23;0.000021
100;25;0.000020769
100;26;0.000020378
100;25;0.000020418
100;26;0.000019958
100;30;0.000020458
100;22;0.000019938
100;28;0.000019557
100;27;0.000049092
100;32;0.000022643
100;25;0.000020288
100;31;0.000020709
100;25;0.000020238
100;25;0.000020468
100;24;0.000020238
100;28;0.000020058
100;23;0.000020058
100;22;0.000021821
100;24;0.00002124
100;27;0.000020739
100;27;0.000020218
100;21;0.00003174
100;26;0.000022141
100;21;0.000019968
100;23;0.000019697
100;20;0.000019246
100;28;0.000020038
100;25;0.000019877
100;21;0.000019787
100;28;0.000019387
100;30;0.000019336
100;31;0.000019577
100;21;0.000018886
100;27;0.000019687
100;32;0.000020027
100;28;0.000020118
100;26;0.000019527
100;31;0.000019607
100;23;0.000019076
100;25;0.000019196
100;32;0.000019887
100;26;0.000019447
100;24;0.000019186
100;22;0.000019146
100;25;0.000019627
100;29;0.000019767
100;21;0.000019396
100;32;0.000022192
100;22;0.000021931
100;27;0.0000212
100;24;0.000020919
100;22;0.000020799
100;30;0.000020799
100;21;0.000020619
100;26;0.000050044
100;27;0.000022352
100;26;0.000020308
100;29;0.000020899
100;21;0.000019607
100;32;0.000020358
100;30;0.000020449
100;30;0.000020228
100;25;0.000020037
100;20;0.000020338
100;27;0.000020228
100;23;0.000019827
100;24;0.000020439
100;22;0.000019937
100;25;0.000020098
100;23;0.000019727
100;33;0.000020288
100;23;0.000019727
100;31;0.000020088
100;25;0.000020008
100;28;0.000020749
100;28;0.000020188
100;25;0.000019927
100;27;0.00002152
100;34;0.000021591
100;23;0.00002147
100;22;0.000020729
100;28;0.000020519
100;21;0.000019847
100;31;0.00002094
100;21;0.000019957
100;29;0.000033683
100;26;0.00002088
100;24;0.000019897
100;22;0.000020208
100;29;0.000020068
100;21;0.000018945
100;20;0.000019396
100;19;0.000019577
100;29;0.000020298
100;23;0.000020058
100;27;0.000019526
100;26;0.000019317
100;25;0.000019336
100;29;0.000020388
100;30;0.000020037
100;26;0.000020088
100;24;0.000019437
100;24;0.000019035
100;26;0.000019838
100;24;0.000019506
100;26;0.000019838
100;27;0.000019817
100;26;0.000021861
100;17;0.00002102
100;23;0.000020559
100;21;0.000020178
100;17;0.000020037
100;17;0.000019627
100;20;0.000019958
100;17;0.000019767
100;21;0.000020378
100;22;0.000020078
100;23;0.000019917
100;20;0.000033272
100;20;0.00002133
100;22;0.000020028
100;19;0.000019757
100;22;0.000019457
100;18;0.000019586
100;20;0.000019606
100;22;0.000019317
100;20;0.000019376
100;20;0.000019256
100;22;0.000019607
100;20;0.000020018
100;18;0.000019787
100;20;0.000020008
100;21;0.000020609
100;24;0.000019857
100;20;0.000019216
100;22;0.000019697
100;22;0.000019206
100;20;0.000021861
100;17;0.000020949
100;23;0.000020819
100;22;0.000020379
